TEAM,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,TOR,ORB,FTR,2P_O,3P_O,YEAR
Louisiana Tech,31,17,106.2,104.3,0.5516,50.9,17.9,27.4,36.5,48.2,36.7,2018
Middle Tennessee,32,25,110.3,96.8,0.8186,53.1,18.6,30.7,30.1,51.9,37.1,2018
North Texas,36,20,105.5,102.8,0.5741,51.2,18.7,30.2,33.6,50,35.4,2018
Old Dominion,32,25,107.5,95.7,0.791,50.7,15.5,32.3,33,49.3,35.7,2018
Rice,29,7,98.9,108.4,0.2585,48,20.7,27.6,35.2,48,32.1,2018
Southern Miss,30,16,104.7,107.9,0.4139,50.3,14.6,20.5,28.3,49.8,34.1,2018
UAB,31,20,108,102.5,0.6448,54.7,19,30.9,28.3,55.9,34.8,2018
UTEP,30,11,96.8,103,0.3286,49.3,17.8,19,30.9,49,33.1,2018
UTSA,32,20,104,103.2,0.523,51.1,17.1,26.5,29.6,49.3,35.5,2018
Western Kentucky,37,27,113.8,100.7,0.8039,54.2,16.6,29,40,54.6,35.4,2018
Charlotte,29,8,95,107.7,0.1916,48.1,22,22.3,36.3,49.2,31.1,2019
FIU,30,20,101.4,105.1,0.3994,48.9,17.7,25.7,37.9,52.2,29.3,2019
Florida Atlantic,30,17,98.4,98.3,0.5042,47.9,20.7,29,28.6,47,32.6,2019
Louisiana Tech,31,20,103.3,102.1,0.5326,49.8,17,29.4,35.9,49.3,33.7,2019
Marshall,37,23,105.5,106,0.486,51.9,15.9,22.9,30.5,52.3,34.2,2019
Middle Tennessee,30,11,96.8,103.8,0.3091,46.7,22.8,32.3,29.6,45.7,32.3,2019
North Texas,30,21,97.4,97.6,0.4944,49.2,20.1,30.7,27.7,50.5,31.7,2019
Rice,30,13,101.3,109.1,0.2984,50.1,18.9,26.6,38.5,48.1,35.3,2019
Southern Miss,29,20,106.8,101.2,0.649,53.1,15.7,22.9,24.1,49.9,39.1,2019
UAB,33,20,106.2,105.1,0.5307,50.4,16.8,30.6,31.8,51.3,32.6,2019
UTEP,27,8,89,100.1,0.205,45.7,22.8,26.7,34.7,44.3,32,2019
UTSA,28,17,104.7,101.6,0.5851,49.5,16.4,26.1,26.2,48,34.3,2019
Western Kentucky,34,20,103.9,99.5,0.6223,49.9,19.6,29.6,37.9,50.2,32.7,2019
Cleveland St.,32,17,105.5,100.5,0.6382,51.7,19,31.9,31.1,48.9,37.9,2015
Detroit,31,13,101.1,103.6,0.4304,49.7,19.3,29.4,32.4,46.3,37.9,2015
Green Bay,31,22,102.6,93.3,0.7475,49.3,18.5,33.3,39.3,51.8,28.3,2015
Illinois Chicago,32,8,99.2,109.4,0.2449,43.6,17.4,30.8,40,41.5,31.8,2015
Milwaukee,28,12,100.8,103.6,0.4226,49,20,26.9,36.2,48.6,33.2,2015
Oakland,31,14,109,109.2,0.495,52.3,18.4,30.1,38.1,51.7,35.5,2015
Wright St.,29,9,96.5,103.6,0.3053,49.8,19,23.2,31.5,49,34.1,2015
Youngstown St.,29,8,103.4,112,0.285,50.1,17.2,27.6,35.9,48.5,35.6,2015
Cleveland St.,30,7,90.3,101.4,0.2077,44.8,21.8,29.4,30.9,43.4,32,2016
Detroit,29,14,109.8,110.8,0.474,52,17.8,32.5,40.5,50.6,36.5,2016
Illinois Chicago,28,3,89.7,105.7,0.1308,41.5,21.1,31.9,43.2,40.3,30.4,2016
Milwaukee,31,18,111.1,106.4,0.6222,52.8,15.8,27.1,38.3,51.9,35.9,2016
Northern Kentucky,28,7,99.4,107.8,0.2828,50.3,19.7,26.5,31.2,48.6,35.3,2016
Oakland,35,23,114.6,106.2,0.7053,53.1,15.2,31.2,41.8,49.3,39.8,2016
Valparaiso,35,28,106.6,91.8,0.8476,50.7,19,35.2,35.1,48.3,36.5,2016
Wright St.,33,20,100.4,97.3,0.5879,51.4,16.5,19.1,33,48.3,37.8,2016
Youngstown St.,30,9,101.6,113.3,0.2215,49,15.6,22.7,29.8,45.5,37,2016
Cleveland St.,30,9,94.9,102.4,0.2941,46.3,18.8,28.9,29.6,46.5,30.7,2017
Detroit,30,8,102.1,113.6,0.2272,50.9,19.5,26.9,38.1,48.4,37,2017
Green Bay,30,18,100.8,102.8,0.443,48.3,18,30.4,37.7,48.7,31.6,2017
Illinois Chicago,34,17,100.4,106.7,0.3324,50.5,22.3,32.5,38.4,47.6,37,2017
Milwaukee,34,11,98.9,107.8,0.2696,50.8,18.1,24.5,27.4,49.8,34.9,2017
Oakland,32,25,103.8,99.2,0.6289,51.2,18.4,29.3,37.7,51.9,33.3,2017
Valparaiso,32,24,104.5,99.9,0.6272,50.1,18.2,30.4,36.9,50.5,33,2017
Wright St.,30,20,105.3,105.4,0.4963,52,20.4,29.4,38,49.4,37.2,2017
Youngstown St.,32,13,101,112.8,0.2204,49.1,16,26.3,25.9,49,32.8,2017
Cleveland St.,34,12,97.9,109.2,0.2234,50.6,18.9,22.1,29.4,50.4,34,2018
Detroit,30,8,101.6,116.7,0.1696,49.1,18.2,27,31.1,48.5,33.3,2018
Green Bay,30,13,99.8,108,0.2863,48.6,18.6,25.6,32.3,44.7,36.2,2018
Illinois Chicago,34,20,100.2,102,0.45,50.6,20.8,28.8,35.3,49.8,34.9,2018
IUPUI,28,11,97.6,108,0.2375,48,20.5,31.9,32.9,45.2,35.5,2018
Milwaukee,31,16,99.2,102.5,0.4086,50.9,18.1,25.1,27.7,50.9,33.9,2018
Northern Kentucky,30,22,106.2,98.3,0.7087,53.8,17.6,28,31,55.7,34,2018
Oakland,33,19,105.7,106.2,0.4866,52,18.1,28,35.5,51.4,35.2,2018
Youngstown St.,30,8,101.1,114.5,0.1931,47.6,19.4,34.7,28.4,46.5,33.2,2018
Cleveland St.,29,10,101.4,110.5,0.2708,51.5,18.5,26.3,31.7,48.9,36.5,2019
Detroit,31,11,105.7,112,0.3402,49.7,16.3,29.3,31,46.7,35.6,2019
Green Bay,36,21,103.6,104.9,0.4648,51.5,17.2,26.4,33.9,51.4,34.5,2019
Illinois Chicago,30,16,100.5,101.3,0.4762,53.3,20,24.9,27.8,54.1,34.9,2019
IUPUI,31,16,102.4,105.5,0.4132,50.2,19.6,34.3,35.2,50.5,33,2019
Milwaukee,30,9,98.6,107.4,0.2718,48.1,18,26.7,28.2,46.5,33.8,2019
Oakland,32,16,106.8,107,0.4942,54.3,18.4,25.7,35.7,52.3,37.9,2019
Wright St.,33,21,106.3,100,0.6705,51,17.3,30.8,35.1,50.4,34.6,2019
Youngstown St.,30,12,103.8,111,0.3167,49.6,18.5,33.5,23.1,48.5,34.1,2019
NJIT,29,17,103.3,104.5,0.4644,52.3,20.5,28.8,39,49.8,37.1,2015
Brown,29,11,98.3,105,0.3178,47,21.6,29.8,45,47.2,31.1,2015
Columbia,27,12,106.4,105.7,0.5179,51.6,19.4,32,28.2,49.7,35.9,2015
Cornell,29,12,93.9,98.1,0.3746,44.6,19,23.1,39.3,44.1,30.3,2015
Dartmouth,29,14,98.8,102.1,0.4061,49.2,20.3,30.9,35.7,47.9,34.6,2015
Penn,28,9,96.4,106.4,0.2427,49.1,23.6,29.5,35.8,47.7,34.6,2015
Princeton,29,15,105.4,104.5,0.5258,54.3,18.8,20.7,46.1,53,37.3,2015
Yale,30,20,104.2,97.2,0.6892,49.9,20.4,34.2,40.9,47.3,36.5,2015
Brown,27,7,101,110.8,0.2578,50.2,18.8,25.6,36.9,47.8,35.9,2016
Columbia,33,23,111.8,105.9,0.6512,53.5,15.9,28.5,37.9,50.5,38.1,2016
Cornell,27,9,96.7,107.6,0.2276,48.7,17.9,22.4,32.3,47,34.1,2016
Dartmouth,27,9,98.9,103.5,0.3717,47.5,20.8,32.8,38.2,45.9,34.3,2016
Harvard,28,12,99.3,99.1,0.5035,51.8,21.5,29.6,31.5,48.1,39.2,2016
Penn,27,10,98.4,107.1,0.273,49,19.4,27.9,31.9,51.3,30.4,2016
Princeton,28,21,112.2,99.9,0.791,54.2,16.2,28,33.9,52,38.1,2016
Brown,28,13,102.5,113.1,0.2434,50.7,19.6,27.1,44.5,49,35.6,2017
Columbia,26,11,100,105.8,0.3433,49.7,18.4,27.9,29.1,47.1,36.1,2017
Cornell,28,8,98.9,107.4,0.2791,52.1,20.1,22,29.5,53.6,33.3,2017
Dartmouth,27,7,98.8,111.4,0.2015,49.9,21.7,27.7,33.8,48.1,35.2,2017
Harvard,26,18,105.7,101.4,0.6165,52.3,19.8,29.6,32.3,51.2,35.9,2017
Penn,28,13,102,101.6,0.5106,51.6,18.9,27.6,26,52.2,33.9,2017
Yale,28,18,105.4,105,0.5094,52.3,19.3,31.2,33.9,51.8,35.5,2017
Brown,26,11,101,109.2,0.2899,48.5,18.4,29.4,40.4,48.6,32.1,2018
Columbia,26,8,107.9,113,0.3698,52.4,17.8,27,24.5,49.9,37.2,2018
Cornell,27,12,104.8,112.2,0.3131,52.5,18.5,24.4,35.1,54,33.4,2018
Dartmouth,26,7,96.9,109.5,0.1968,51.4,20,23.9,32.8,49.7,36,2018
Harvard,31,18,100.8,97.8,0.5854,50.4,20.5,26.5,27.6,48.5,35.4,2018
Princeton,28,13,104.9,106.1,0.4689,53.9,16.4,22,26.2,52.1,37.3,2018
Yale,30,16,102.5,105.2,0.4244,52.7,18.8,25.4,31,55.3,32.8,2018
Brown,30,20,98.5,97.2,0.5373,50.4,20.3,24.5,36.7,50.2,33.8,2019
Columbia,26,10,102,105.6,0.4033,51.5,18,24.3,22.4,50.6,35.4,2019
Cornell,29,15,99,104,0.3611,51.1,18.9,18.8,33.9,52.3,32.9,2019
Dartmouth,28,11,102.7,106.5,0.3975,51.8,17.6,23.9,24.8,50.6,35.8,2019
Harvard,30,19,105,99.4,0.6528,53.3,22.6,28.7,31.6,52.7,36.1,2019
Penn,30,19,103.6,97.1,0.6766,52.6,18.4,24.8,28.1,52.9,34.7,2019
Princeton,26,16,97.9,98.5,0.4819,47,17.8,24.3,29.8,48.1,30.3,2019
Canisius,33,18,101.2,100.7,0.5153,46.6,18.4,34,32,46.1,31.8,2015
Fairfield,31,7,93.7,104.5,0.2203,45.2,20.2,27.3,37.1,43.2,32.2,2015
Iona,35,26,110.9,105.7,0.6343,54.7,17.2,28.7,37.4,51.3,39.6,2015
Marist,32,7,91.9,104.1,0.1926,46.8,20.5,21.2,38,46.4,31.5,2015
Monmouth,33,18,98,100.4,0.4312,47.9,19.9,30,41,46.7,33.8,2015
Niagara,30,8,98.5,109.7,0.2254,45.6,20.6,32,41.2,42.3,35.1,2015
Quinnipiac,30,15,101.4,101.3,0.5029,44,20.4,42.1,35.5,43.1,30.7,2015
Rider,33,21,98.9,99,0.4959,49.4,19.2,31.1,35.6,49,33.4,2015
Saint Peter's,34,16,97.3,99.9,0.4267,46.9,19.5,31.4,44,44.6,34.3,2015
Siena,31,11,103.9,111.2,0.3129,47.5,18.7,36.3,41.9,46.6,33.2,2015
Canisius,33,14,106.6,113.3,0.3338,49,15.9,31,36.9,47.5,34.1,2016
Fairfield,33,19,102.8,106.2,0.4057,51.3,17.6,24.8,32.6,50,35.4,2016
Manhattan,31,13,98.4,105.5,0.3108,50.1,20.5,23.5,39.8,47.6,36.1,2016
Marist,30,7,100.7,116,0.1641,49.4,17.3,24.3,35.9,48.1,34.2,2016
Monmouth,36,28,105.7,98.1,0.7016,49.9,16.5,28.6,38.4,47.2,36.6,2016
Niagara,32,7,92.8,107.3,0.1578,44.9,21.1,32.8,34,46.2,28.2,2016
Quinnipiac,30,9,91.5,102.3,0.2167,42.8,21.7,38.4,28,38.3,34.1,2016
Rider,33,13,98.1,103.6,0.347,48.3,19.2,28.6,35.4,48.9,31.5,2016
Saint Peter's,30,14,95.1,101.3,0.3266,47.7,19.5,30.4,35.1,47,32.7,2016
Siena,34,21,106.8,104,0.5747,52,22.2,39.1,40.8,50.7,36.8,2016
Canisius,34,18,106.9,109.5,0.4309,53.1,18.2,30.2,30.9,51.4,37.1,2017
Fairfield,31,16,98,102.2,0.3818,51.3,18.6,24.3,27.2,52,33.5,2017
Manhattan,32,10,95.7,107.1,0.2159,47.4,22.6,30.8,41,46.3,32.9,2017
Marist,32,8,100.8,112.6,0.2183,49.9,18.4,21.6,37.9,49.9,33.3,2017
Monmouth,34,27,106.7,99.5,0.6915,50.8,16.7,29.7,37.3,47.6,37.3,2017
Niagara,33,10,99.4,109.1,0.2566,47.6,17.9,30.5,33.6,44,36.6,2017
Quinnipiac,31,10,100.7,112.7,0.2152,47.9,19.2,34.1,33,47.4,32.6,2017
Rider,33,18,99.9,104.5,0.3749,49,19.6,33,37,48.7,33.2,2017
Saint Peter's,36,23,102.2,95.5,0.687,51.2,17.3,25.5,33.1,47.3,38.1,2017
Siena,34,17,105.2,106.1,0.4764,49.9,19.7,35.5,40,50.2,32.7,2017
Canisius,33,21,105.9,104.4,0.5411,54.2,18.7,29.9,29.9,55.9,34.8,2018
Fairfield,33,17,101,105.6,0.3743,51.4,17.4,24.4,30.9,51.8,33.9,2018
Manhattan,31,14,98.5,104,0.3501,51.6,22.7,31,37.6,46.8,40,2018
Marist,31,6,98.5,111.8,0.1891,52.7,21.7,22.6,35.8,53,34.9,2018
Monmouth,31,11,102.7,104.3,0.4537,52.3,20.9,26.6,44.1,49.3,38.9,2018
Niagara,33,19,107.8,113.9,0.3486,50.8,15,30.9,38,49.2,35.8,2018
Quinnipiac,33,12,100.8,111,0.2485,50.3,19.4,27.8,37,49.8,33.9,2018
Rider,32,22,107.8,106.8,0.527,52.6,17.6,33.5,42.1,52,35.8,2018
Saint Peter's,32,14,94.5,99.3,0.3625,49.2,19.6,27.1,27.3,48.1,33.7,2018
Siena,32,8,96.1,107.8,0.209,48.2,21.7,31.4,36.4,44.7,36.7,2018
Canisius,32,15,101.1,111,0.2539,50.5,18.6,27,31.4,52,32.4,2019
Fairfield,31,9,95.9,105.1,0.2571,50.7,20.7,26.1,23.9,49.5,35,2019
Manhattan,32,11,89.2,103.8,0.1496,47.4,24.1,30.6,33.3,45.6,33.2,2019
Marist,31,12,100.4,107.1,0.3218,52.3,18.9,24.3,32.2,50.8,36.3,2019
Monmouth,35,14,92.7,102.3,0.2422,45.8,20.6,29.3,40.3,46.4,29.7,2019
Niagara,32,13,101.2,114.7,0.1916,49.2,17.3,27.1,33.3,46.1,35.9,2019
Quinnipiac,31,16,104.7,111.8,0.319,52.8,19.4,29.8,37.3,48.5,37.7,2019
Rider,31,16,100.2,104.6,0.3788,50.6,18,30.8,39.9,50.4,34,2019
Saint Peter's,32,10,94,106.9,0.1854,48.7,23.3,29.9,34.8,48.8,32.5,2019
Siena,33,17,100.3,106.9,0.3233,51.5,15.6,23.6,24.7,52.1,33.9,2019
Akron,34,20,103.4,97.1,0.6727,49.4,18.8,33.3,31.3,46.7,34.9,2015
Ball St.,29,6,98.9,106.7,0.2942,48.9,21.6,29.9,35.4,47.7,33.6,2015
Bowling Green,32,21,104.2,100.1,0.614,49.3,18.4,31.6,32.4,48.6,33.8,2015
Central Michigan,29,20,113.2,105.1,0.7002,54.5,15.1,28.8,36.6,53.7,36.9,2015
Eastern Michigan,31,17,99.4,97.4,0.5591,46.9,17.8,30.2,41.5,46.7,31.4,2015
Kent St.,34,22,105.3,101.4,0.6069,49.8,17.8,33.6,37.1,46.7,36.6,2015
Miami OH,31,12,99.1,105,0.3397,49.4,19.4,25.9,38.7,48.3,34.4,2015
Northern Illinois,29,13,100.1,103.3,0.4112,47.6,21.7,36.4,47.1,47.2,32.2,2015
Ohio,30,10,100.8,106.3,0.35,49.8,18.7,25.9,28.9,49,34,2015
Toledo,33,20,111.6,103.8,0.6969,52.3,18.1,33.3,41.2,51.2,36.6,2015
Western Michigan,32,18,105.7,105.2,0.513,51.3,18.1,29.8,42.7,49.9,35.9,2015
Akron,34,25,109,100.5,0.7187,52.7,15.5,28.5,30.6,48,38.2,2016
Ball St.,34,20,102.1,102.1,0.4994,52.2,19.9,28,34.8,49.9,36.9,2016
Bowling Green,32,14,99.1,105.8,0.3201,48.9,18.5,28.1,40.2,47.2,35.4,2016
Central Michigan,30,14,110.3,108.3,0.5524,51.7,13.6,26.5,30,50.8,35.2,2016
Eastern Michigan,29,14,105.7,104.4,0.5343,48.8,17.4,31.1,43.5,49.5,31.5,2016
Kent St.,31,18,105.4,106.8,0.4623,49,17.5,34.1,40,49,32.8,2016
Miami OH,32,12,96.4,103.6,0.3055,45.3,18.5,27.9,36.1,44.8,30.8,2016
Northern Illinois,30,17,100.5,100.8,0.4918,47.8,18.5,32.1,41.7,44.8,35.6,2016
Ohio,34,22,110.1,106.5,0.5952,54.2,16.9,24.9,37.4,52.3,38.2,2016
Toledo,31,16,107.9,102.9,0.6338,52.7,16.6,27.9,34.3,51.7,36.3,2016
Western Michigan,30,11,102.4,104.5,0.4417,47.6,17.9,30.6,43.8,46.3,33.7,2016
Akron,35,27,111.1,105.4,0.6488,55.1,17.2,29.4,37.3,55,36.8,2017
Ball St.,33,21,103.6,104.5,0.474,53.7,19.9,27.8,35.1,51.7,37.6,2017
Bowling Green,31,13,99.8,105.8,0.3384,48,17.3,28.5,35.8,46.5,34.1,2017
Buffalo,30,17,103.5,102,0.542,50.7,19.8,33.2,37.3,51.4,33,2017
Central Michigan,30,16,109.8,117.8,0.3083,51.7,14.7,26.7,34.6,48.5,36.4,2017
Eastern Michigan,29,16,105.3,104.4,0.5246,48.8,17.1,33.6,35.3,48,33.6,2017
Miami OH,30,11,94.3,105.2,0.2203,48.6,20.1,24.9,37,49.8,30.9,2017
Northern Illinois,29,15,98.8,101.8,0.4121,46.4,19.5,33.5,40.3,46.6,30.6,2017
Ohio,30,20,105.5,99.4,0.6659,53.2,17.4,25.6,33.7,50,38.5,2017
Toledo,33,17,107.8,104.2,0.5969,54.4,18.5,29,38.3,54.6,36.1,2017
Western Michigan,31,16,105.2,105.1,0.5018,50.9,17.6,31.1,35,48.2,38.3,2017
Akron,31,14,102.4,107.5,0.3634,51.5,19.8,27,31.4,49.9,35.6,2018
Ball St.,31,19,102,102.7,0.4797,51.4,18.4,28,33.2,51.7,33.9,2018
Bowling Green,30,16,101.4,107.4,0.3406,47.3,17.6,29.7,36.6,45.1,34.3,2018
Central Michigan,33,21,109.5,109.4,0.5009,51,17,31.1,33.7,50.5,34.4,2018
Eastern Michigan,31,22,101.3,99.1,0.563,51.4,18.7,30.4,29.2,52,33.6,2018
Kent St.,33,17,101.7,105.8,0.3863,48.7,18.7,31.4,32.5,48.8,32.4,2018
Miami OH,32,16,100,101.9,0.4475,50.1,19.3,27.1,27,50,33.5,2018
Northern Illinois,30,12,102.1,110.6,0.2844,49.5,17,28.2,33.1,49.8,32.6,2018
Ohio,30,14,99.9,101,0.4672,51,18,22.4,30.9,48.4,37.2,2018
Toledo,33,23,113.2,108.3,0.6248,55.3,16.6,27.8,37.1,51.4,40.6,2018
Western Michigan,30,17,105.3,108,0.4287,49.3,15.6,29.7,34.1,48,34.5,2018
Akron,31,17,98.4,92.9,0.6586,48.2,17.3,25.1,27.7,48.8,31.7,2019
Ball St.,32,16,100.5,97.7,0.5825,51.8,20.2,27.5,37.6,53.5,32.2,2019
Bowling Green,32,22,107.5,102,0.6466,50.5,16.6,30.7,34.9,48.8,35.8,2019
Central Michigan,32,23,109.2,105.3,0.6038,51.4,16.2,31,40,48.9,36.9,2019
Eastern Michigan,28,15,101.4,101.5,0.4973,48.5,20.8,34.3,33.9,50.5,29.9,2019
Kent St.,31,22,109,106,0.5782,49.6,16.4,33.2,31.8,49.1,33.6,2019
Miami OH,30,15,103,101.4,0.5469,48.6,18.7,30,34.7,48.7,32.3,2019
Northern Illinois,32,17,106.6,104.8,0.5498,52.6,17.2,27.2,26.5,51.6,36.5,2019
Ohio,30,14,98.4,100.5,0.4396,48.6,20,28.2,33.2,50.7,29.7,2019
Toledo,32,25,108.6,97.8,0.7686,53.2,17.4,28.1,26.1,50.4,38,2019
Western Michigan,31,8,98.3,105,0.3189,48,21.7,29.7,36.7,49.4,30.5,2019
Bethune Cookman,30,9,90.4,109.4,0.1001,44.2,22.7,34.4,40.3,44.4,29.1,2015
Coppin St.,30,7,97,115.7,0.1163,47,18.4,25.3,30.5,42.4,35.3,2015
Delaware St.,34,16,99.3,110,0.2364,47.7,19.7,31.8,31.5,44.8,35,2015
Florida A&M,29,2,83.6,116,0.0226,41.3,21.8,26.8,37.8,40.9,28.3,2015
Howard,29,13,90.8,100.7,0.2332,46.2,25,33.5,43.4,47.4,28.9,2015
Maryland Eastern Shore,33,18,100.9,107.1,0.3351,51.7,23.4,35.5,47,48.9,38.2,2015
Morgan St.,31,7,92.4,111.3,0.1057,40.2,16.2,34.8,33.1,39.1,28.4,2015
Norfolk St.,32,18,102.3,107.4,0.3621,52.1,20.7,34.3,42.7,52.2,34.5,2015
North Carolina A&T,30,7,91.7,112.1,0.0903,44.6,23.6,34.1,37.3,45.7,28.4,2015
North Carolina Central,30,22,102.5,98.4,0.6142,53.2,19.8,31,37.2,53.1,35.6,2015
Savannah St.,29,7,85.6,104.4,0.0922,44,24.7,30,34.2,46.2,25.2,2015
South Carolina St.,31,9,89.1,107.6,0.103,42.4,19.4,30.1,32.8,41.1,30.1,2015
Bethune Cookman,30,12,97.5,110.6,0.1889,47.1,18.5,32,31,47.4,31.1,2016
Coppin St.,29,7,95.3,111.8,0.1368,44.2,17.7,30.7,37.2,40.6,33.4,2016
Delaware St.,30,5,88.6,112.9,0.0578,44.8,21.1,27.2,29.1,42.4,32.4,2016
Florida A&M,27,6,82.9,107,0.0506,44.8,22.5,25.4,42.5,44.4,30.4,2016
Howard,30,10,92.2,108.8,0.1289,43.6,20.3,32.6,48.5,43.4,29.5,2016
Maryland Eastern Shore,31,9,97.7,112.9,0.1604,49.2,23,31.4,37.3,49.5,32.4,2016
Morgan St.,30,8,93.9,107.1,0.1804,44,16.7,30.4,35.8,43.6,30.1,2016
Norfolk St.,32,15,103.4,112,0.2859,48.7,17.7,32.2,41.5,46.7,34.7,2016
North Carolina A&T,31,10,95.1,114.3,0.1082,45.8,19.5,29.8,37,44.8,31.8,2016
North Carolina Central,29,10,97.5,111.3,0.179,47.7,20.4,33.9,38.7,46.3,33.9,2016
Savannah St.,30,14,86.8,102.5,0.1279,45.1,21.9,25.8,39.8,44.2,31.1,2016
South Carolina St.,32,17,101.8,112.6,0.2391,49.8,17,29.1,34.8,49.6,33.6,2016
Bethune Cookman,30,10,95.2,113.9,0.1138,46.8,17.7,31.1,28.2,45.9,32.3,2017
Coppin St.,30,8,91.7,116.6,0.0593,43.9,19.1,28,40,41.7,31.7,2017
Delaware St.,30,10,93.9,113.5,0.1015,47.8,19.6,28.5,30.1,44.7,35.1,2017
Florida A&M,28,7,92.3,116.7,0.0632,46.5,18.5,26.3,37.6,44.7,33.9,2017
Hampton,29,14,92,106.6,0.1552,46.1,19.6,30.6,33.4,45,32.2,2017
Howard,32,10,90,109.1,0.0981,43.4,21.5,32.3,43.4,43.3,29,2017
Maryland Eastern Shore,32,14,96.4,112.7,0.1423,48.4,18,27.1,32.5,46.5,34.4,2017
Morgan St.,29,14,91.6,105.6,0.1634,42.5,19.8,34.8,37.8,42,29.2,2017
Norfolk St.,32,17,93.5,105.3,0.2027,47.4,20.5,29.7,38,46.1,33.2,2017
North Carolina A&T,30,3,95.2,124,0.0458,47.6,21.7,31.8,33.4,47.3,32.2,2017
Savannah St.,27,13,99,113.9,0.1657,49.5,17.8,27.6,32.3,52,31.8,2017
South Carolina St.,29,11,98,118.7,0.0995,47.4,18,28.1,30.4,47.1,32,2017
Bethune Cookman,30,18,98.6,110.9,0.2062,49.5,20.3,32.9,41.2,51,31.2,2018
Coppin St.,32,5,86.2,109.7,0.0585,43.3,20.5,22.3,27.1,41,30.5,2018
Delaware St.,30,4,90.3,119.2,0.0391,47.3,22.8,29.3,28.5,46.1,33.2,2018
Florida A&M,33,9,94.2,117.7,0.0723,47.2,19.5,27.5,32.1,44.8,35.1,2018
Hampton,32,19,100.1,107.6,0.3037,48.8,16.9,28.7,33.8,49.1,32,2018
Howard,31,10,98.4,119.4,0.0976,48.8,18,28.9,34.5,46.7,34.9,2018
Maryland Eastern Shore,30,7,90.1,117.5,0.045,43.1,19.4,28.2,29.7,44.3,27.5,2018
Morgan St.,30,13,95.4,111.2,0.1467,45.6,18.7,33.5,39.3,44.8,32,2018
Norfolk St.,30,14,94.6,108.3,0.1732,49.4,21.1,31.6,31.3,46.1,37,2018
North Carolina A&T,33,20,96.8,111.9,0.1585,51.2,19.5,27.8,37.5,54.3,30.3,2018
Savannah St.,30,15,99.7,114.3,0.1709,48.1,16.7,26.7,29.3,51.5,30.2,2018
South Carolina St.,30,10,96.1,119.2,0.0779,46.7,18.5,29.4,35.9,45.7,32.7,2018
Bethune Cookman,29,14,93,104.8,0.2017,48.3,21.5,33.5,37.1,48.3,32.4,2019
Coppin St.,33,8,87.5,109.2,0.0724,45.5,23.3,26,37.7,47.7,28.6,2019
Delaware St.,29,6,84.3,112.2,0.0358,40,19,27.8,25.5,37.7,29,2019
Florida A&M,29,12,88.2,101.4,0.1673,49.1,24.6,27.9,31.1,46.9,36.4,2019
Howard,31,17,101.5,114.1,0.2077,48.5,16.8,29.2,33.8,45.5,36.8,2019
Maryland Eastern Shore,30,7,85.7,114.4,0.0346,43.5,20.7,22.8,28.3,44.5,27.9,2019
Morgan St.,28,9,91.8,111.4,0.097,43.7,17.9,31.8,34.3,41.5,33.1,2019
Norfolk St.,33,22,96.7,104.7,0.2862,49.6,20.3,27.4,38.2,46.1,37,2019
North Carolina A&T,30,19,95.2,106.8,0.2117,51.1,19.4,27.1,31.1,51,34.1,2019
Savannah St.,30,11,94.6,117.1,0.0791,48,19.9,28,25.2,53.7,29.2,2019
South Carolina St.,32,8,97.3,117.8,0.0991,47.2,20.8,31.6,39.7,46.5,32.4,2019
Bradley,32,8,91.9,98.1,0.322,42.3,20.4,32,37.8,40.7,30.1,2015
Drake,30,8,104,110.9,0.3239,52.1,22.3,23.3,34,47.4,40.6,2015
Evansville,35,23,104,99.7,0.6211,52.1,19.3,25.8,44.3,51.8,35.4,2015
Illinois St.,34,21,106.2,94.5,0.7929,48.4,19.9,36.2,34.8,46.8,34.4,2015
Indiana St.,30,14,100.5,100.4,0.503,49.4,20.9,26.4,42.3,46.6,35.7,2015
Loyola Chicago,35,22,103.8,101.3,0.5708,53.3,21,28.7,33.3,50.6,39.3,2015
Missouri St.,29,9,96.5,104.4,0.2884,45.4,19.5,29.7,31.7,44.5,31.4,2015
Southern Illinois,32,11,98.1,100.5,0.4297,45.7,20.8,31.4,41,44.3,33.3,2015
Bradley,31,4,86.1,100.9,0.1393,43,25.4,24.9,38.3,43.9,27.7,2016
Drake,30,6,102.9,111.6,0.2819,50.7,20.5,25.5,33.6,47.2,38.2,2016
Evansville,33,24,105.7,97.3,0.7216,53.4,18.2,24.5,46.9,53.2,35.9,2016
Illinois St.,31,17,103.3,98,0.646,47.7,18.5,30,30.9,46.2,33.3,2016
Indiana St.,31,14,97.3,99.3,0.4422,44.7,18.6,27.3,41.5,44.7,29.9,2016
Loyola Chicago,31,14,100.3,100.2,0.5024,48.3,18.9,22.5,32.5,45.9,35.3,2016
Missouri St.,31,12,100.1,104.8,0.3708,46.1,18.6,28,39.3,45.3,32,2016
Southern Illinois,32,22,105,102.5,0.5679,51.1,19.4,31.7,39.3,51,34.3,2016
Bradley,32,13,96.5,102.1,0.3409,48.5,21.9,26.3,42.1,46.1,35.3,2017
Drake,29,7,102.6,110,0.3099,48.1,17.6,26.8,29.1,45.3,34.6,2017
Evansville,31,16,105.9,102.2,0.6012,48.8,17.9,27.1,45.8,47.2,36.9,2017
Illinois St.,34,28,107.5,92.2,0.8529,51.4,18.6,30.4,29.9,48.6,37,2017
